AV/OV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299,311,323,336,349,362
2,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299,311,323,336,349
3,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299,311,323,336
4,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299,311,323
5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299,311
6,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287,299
7,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275,287
8,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264,275
9,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253,264
10,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242,253
11,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231,242
12,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221,231
13,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211,221
14,N,N,N,N,N,N,N,3,5,7,8,9,10,11,12,13,14,15,17,19,21,23,26,29,32,35,39,43,47,51,56,61,66,71,77,83,89,95,102,109,116,123,131,139,147,155,164,173,182,191,201,211
